fraSing,gswSing,gswPlu,articleSing,theme
acheter,kaufe,,,action
aider,hëlfe,,,action
aimer,lieb hãn,,,action
aller,gehn,,,action
aller à cheval,rite,,,action
appeler,rüefe,,,action
arracher,rïsse,,,action
atteindre,trëffe,,,action
attraper,fãnge,,,action
balayer,fäje,,,action
battre,schlawe,,,action
bavarder,schwätze,,,action
boire,trinke,,,action
boire avec excès,süffe,,,action
briller,schine,,,action
briser,brëche,,,action
caresser,strïche,,,action
chanter,singe,,,action
chanter,singe,,,action
comprendre,verstehn,,,action
couper,schniide,,,action
courir,laufe,,,action
creuser,grãwe,,,action
cuire au four,bãche,,,action
cuisiner,koche,,,action
danser,dãnze,,,action
défendre,verbiete,,,action
dessiner,zeichne,,,action
deviner,rote,,,action
disparaître,verschwinde,,,action
donner,gënn,,,action
dormir,schlofe,,,action
écrire,schriiwe,,,action
embrasser,schmutze,,,action
essuyer,ãbtrickle,,,action
être assis,sitze,,,action
être couché,leje,,,action
être debout,stehn,,,action
faire,düen,,,action
filmer,filme,,,action
foncer,rãse,,,action
fuir,flichte,,,action
gagner,gewinne,,,action
gai,luschtig,,,action
gonfler,ufpumpe,,,action
grandir,wãchse,,,action
gronder,schëlte,,,action
habiller (s'),sich ãnzeje,,,action
hésiter,"nitt wisse, wãs mãche",,,action
heurter,stosse,,,action
hurler,briele,,,action
jeter,schmïsse,,,action
jeter à la poubelle,wëgwërfe,,,action
jouer,speele,,,action
laisser,lonn,,,action
lancer,wërfe,,,action
laver,wäsche,,,action
lier,binde,,,action
lire,lëse,,,action
manger,ësse,,,action
manger (animaux),frësse,,,action
marcher,laufe,,,action
mesurer,mësse,,,action
mordre,bïsse,,,action
mourir,stërwe,,,action
nager,schwimme,,,action
naviguer,Schiff fãhre,,,action
obéir,horiche,,,action
oublier,vergësse,,,action
peindre,mole,,,action
perdre,verliere,,,action
piquer,stëche,,,action
pleurer,hile,,,action
porter,trawe,,,action
prendre,nëmme,,,action
propre,süfer,,,action
puer,stinke,,,action
quitter,furtgehn,,,action
récolter,ërne,,,action
regarder,löje,,,action
ressembler,glïche,,,action
rester,bliiwe,,,action
rire,lãche,,,action
rouler en véhicule,fãhre,,,action
s'appeler,heisse,,,action
s'arrêter,hãlte,,,action
s'effrayer,verschrecke,,,action
sale,drëcket,,,action
sauter,hüpse,,,action
sauter,springe,,,action
sentir,schmecke,,,action
siffler,pfife,,,action
souffler,blose,,,action
tirer,zeje,,,action
tirer un coup de feu,schiesse,,,action
tomber,fãlle,,,action
traverser,iwwer d' Stross gehn,,,action
triste,trürig,,,action
trouver,finde,,,action
utiliser,benutze,,,action
venir,komme,,,action
visiter,b'süeche,,,action
voir,sëhn,,,action
voler,stëhle,,,action
voler (en avion),flieje,,,action
bas,nieder,,,adjectif
grand,grooss,,,adjectif
haut,hoch,,,adjectif
jeune,jung,,,adjectif
neuf,neu,,,adjectif
petit,klein,,,adjectif
vieux,àlt,,,adjectif
abricot,Ãbrikos,,d',alimentation
asperge,Spãrichel,,d',alimentation
assiette,Dëller,,de,alimentation
banane,Banaan,,d',alimentation
betterave,Rotrãhn,,d',alimentation
beurre,Butter,,de,alimentation
bière,Bier,,’s,alimentation
bouteille,Flàsch,,d’,alimentation
brasserie,Wirthüs,,'s,alimentation
café,Kàffee,,de,alimentation
châtaigne,Kescht,,d',alimentation
chocolat,Schokolà,,de,alimentation
couteau,Masser,,’s,alimentation
cuillère,Leffel,,de,alimentation
eau,Wàsser,,,alimentation
épice,Gewirz,,’s,alimentation
faim,Hùnger,,,alimentation
farine,Mehl,,’s,alimentation
fourchette,Gàbel,,d’,alimentation
fromage,Käs,,de,alimentation
fromage blanc,"dr Wisskäs, Bibeleskäs",,de,alimentation
fruit,Obst,,,alimentation
galette,Eierküeche,,de,alimentation
gâteau,Küeche,,de,alimentation
Gruyère,Schwizerkäs,,de,alimentation
huile d'olive,Oliveel,,’s,alimentation
jambon,Schunke,,de,alimentation
jus de fruit,Fruschtsàft,,de,alimentation
lait,Milch,,d’,alimentation
légume,Gamias,,,alimentation
liqueur,Schnàps,,de,alimentation
louche,Schepfleffel,,de,alimentation
margarine,Pflànzebùtter,,de,alimentation
moutarde,Sanft,,de,alimentation
Munster,Minschterkäs,,de,alimentation
œuf,Ei,,’s,alimentation
orge,Gëërscht,,d',alimentation
pain,Brot,,’s,alimentation
pâte,Nüdle,,d’,alimentation
petit-Suisse,Käsel,,’s,alimentation
poire,Beer,,d',alimentation
poivre,Pfeffer,,de,alimentation
sauce,Sos,,d’,alimentation
sel,Sàlz,,’s,alimentation
serviette de table,Dischserviett,,d’,alimentation
soif,Dùrscht,,,alimentation
soupe,Sùpp,,d’,alimentation
sucette,Süssettel,,'s,alimentation
tasse,Tàss,,d’,alimentation
thé,Tee,,de,alimentation
tonneau,Fãss,,'s,alimentation
verre,Glàs,,’s,alimentation
viande,Fleisch,,,alimentation
vin rouge/blanc,Rotwin / Wisswin,,de,alimentation
vinaigre,Essig,,de,alimentation
yaourt,Yaurt,,de,alimentation
barbe,Bàrt,,’s,anatomie
bouche,Mül,,’s,anatomie
bras,Àrm,Ärm,de,anatomie
cheveu,Hoor,,’s,anatomie
cheville,Kneschel,,’s,anatomie
cœur,Hàrz,,’s,anatomie
cou,Hàls,,de,anatomie
coude,Eleböje,,de,anatomie
cuisse,Schenkel,,de,anatomie
dent,Zàhn,Zähn,de,anatomie
doigt,Finger,,de,anatomie
dos,Buckel,,de,anatomie
épaule,Àchsel,Achsle,d’,anatomie
estomac,Maawe,,de,anatomie
fesse,Àrschbàcke,,de,anatomie
foie,Läwwer,,d’,anatomie
front,Stirn,,d’,anatomie
genou,Knej,,’s,anatomie
intestin,Dàrm,Därm,de,anatomie
jambe,Bein,,’s,anatomie
joue,Bàcke,,de,anatomie
langue,Zung,,d’,anatomie
lèvre,Lippe,Lippen,d’,anatomie
main,Hànd,Händ,d’,anatomie
moustache,Schnüzer,Schnizer,de,anatomie
muscle,Muschkel,Muschkle,de,anatomie
nez,Nàs,,d’,anatomie
œil,Auw,Auwe,’s,anatomie
oreille,Ohr,Ohre,’s,anatomie
orteil,Zeh,,de,anatomie
os,Knoche,,de,anatomie
peau,Hüt,,d’,anatomie
pied,Füess,Fiess,de,anatomie
poitrine,Bruscht,Brischt,d’,anatomie
pouce,Düme,,de,anatomie
poumon,Lung,Lunge,d’,anatomie
rein,Nier,Niere,d’,anatomie
sang,Blüet,,’s,anatomie
tête,Kopf,,de,anatomie
ventre,Büch,,de,anatomie
abeille,Imm,Imme,d’,animal
agneau,Làmm,,’s,animal
aigle,Ãdler,,de,animal
âne,Esel,,de,animal
anguille,Ãal,,de,animal
araignée,Spinn,Spinne,d’,animal
autruche,Vöjelstrüss,,de,animal
baleine,Wãlfisch,,de,animal
belette,Wissele,,'s,animal
bœuf,Oks,,de,animal
bouc,Geissbock,,de,animal
brochet,Hecht,,de,animal
canard,Ent,,d',animal
cerf,Hirsch,,de,animal
chat,Katz,,d’,animal
cheval,Ross,,'s,animal
chèvre,Geiss,,d’,animal
chien,Hund,,de,animal
chouette,Ill,,d',animal
cigogne,"Storik, Schtork",,de,animal
coccinelle,Herrgottskäferle,,'s,animal
cochon,Söj,,d’,animal
coq,Güler,,de,animal
crapaud,Krott,,de,animal
cygne,Schwan,,de,animal
dauphin,Delfin,,de,animal
dindon,Walschgüller,,de,animal
dragon,Drãche,,de,animal
dromadaire,Kãmel,,'s,animal
écureuil,Eichhäsel,,’s,animal
éléphant,Elefãnt,,de,animal
escargot,Schneck,Schnecke,d’,animal
faisan,Fàsàn,,de,animal
fourmi,Ãmeis,,d’,animal
gazelle,Rehgeiss,,d’,animal
grenouille,Frosch,,de,animal
guêpe,Waschpa,,d’,animal
hérisson,Söi-Ejel,,de,animal
héron,Fischreijer,,de,animal
hibou,Ill,,d’,animal
hippopotame,Nilpfërd,,’s,animal
hirondelle,Schwälmele,,’s,animal
jument,Mahra,,d’,animal
kangourou,Kãnguru,,’s,animal
lapin,Kengàla,,’s,animal
lézard,Eidächsla,,’s,animal
libellule,Wãsserjumpfer,,d’,animal
lièvre,Hãs,,de,animal
loup,Volf,,de,animal
luciole,Zindwirmel,,’s,animal
mouche,Muck,Mucke,d’,animal
mouette,Mööf,,d',animal
moule,Muschel,,d',animal
moustique,Schnok,Schnocke,d’,animal
mouton,Hãmmel,,de,animal
nageoire,Flosse,,de,animal
niche,Hundehiisel,,'s,animal
nid,Nescht,,'s,animal
oie,Gàns,,d’,animal
otarie,Seeleeb,,de,animal
ours,Bààr,,de,animal
paon,Pfoohàhn,,de,animal
papillon,Pfifholter,,de,animal
perdrix,Feldhiehnel,,’s,animal
pigeon,Düb,,d',animal
poule,Hüehn,,'s,animal
queue,Wãddel,,de,animal
rat,Ràtt,Ràtte,d’,animal
renard,Fuks,,de,animal
requin,Haifisch,,de,animal
ruche,Immekorb,,de,animal
sabot,Holzschüeh,,de,animal
sanglier,Wildsöj,,d',animal
sardine,Sãrdinel,,'s,animal
sauterelle,Heischräck,,d’,animal
serpent,Schlàng,Schlànge,d’,animal
souris,Müs,,d',animal
taupe,Mülwëlfer,,de,animal
taureau,Schtier,,de,animal
vache,Küh,,d',animal
vautour,Geier,,de,animal
veau,Kalb,,’s,animal
ver,Wurm / Wirm,,de,animal
yack,Berriochs,,de,animal
zèbre,Zebrã,,'s,animal
année,Johr,,’s,chronologie
après,nooch,,,chronologie
après-demain,iwwermorje,,,chronologie
après-midi,Noochmiddàà,,de,chronologie
aujourd’hui,Hita,,,chronologie
automne,Herbscht,,de,chronologie
avant,vor,,,chronologie
avant-hier,vorgescht,,,chronologie
Bonne année !,E glicklichs Nejs!,,,chronologie
calendrier,Kàlender,,de,chronologie
de temps en temps,dànn und wànn,,de,chronologie
demain,Morn / Morja,,,chronologie
depuis,sither,,,chronologie
dimanche,Sùnntig,,,chronologie
été,Sùmmer,,de,chronologie
heure,"Stund, Ür",,d’,chronologie
hier,Geschtert,,,chronologie
hiver,Winter,,de,chronologie
jamais,"nimmeh, nimmi",,,chronologie
jeudi,Donnerstig,,,chronologie
jour,Dàj,,de,chronologie
Joyeux anniversaire !,Fiel Glick züem Geburtsdàg!,,,chronologie
lundi,Mantig,,,chronologie
maintenant,jetz,,,chronologie
mardi,Zischtig,,,chronologie
matin,Morje,,de,chronologie
mercredi,Mittwoch,,,chronologie
midi,Middàà,,de,chronologie
minuit,Mitternàcht,,,chronologie
minute,Minüt,,d’,chronologie
mois,Monet,,de,chronologie
nuit,Nàcht,,d’,chronologie
parfois,àls,,’s,chronologie
printemps,Friaihjohr,,’s,chronologie
quand,wenn,,,chronologie
saison,Johrzit(e),,d’,chronologie
samedi,Samschtig,,,chronologie
seconde,Sékond,,d’,chronologie
semaine,Wuch,,d’,chronologie
siècle,Johrhundert,,’s,chronologie
soir,Owed,,de,chronologie
souvent,efters,,,chronologie
temps,Zitt,,,chronologie
toujours,immer,,,chronologie
tout le temps,àllewil,,,chronologie
vacance,Feriezit,,d’,chronologie
vendredi,Fritig,,,chronologie
blanc,wiss,,,couleur
bleu,blàui,,,couleur
brun,brün,,,couleur
couleur,Fàrwa,,,couleur
gris,gröi,,,couleur
jaune,gaal,,,couleur
noir,schwàrz,,,couleur
rouge,rot,,,couleur
vert,grian,,,couleur
À bientôt,Bis bàll,,,expression
Au revoir,àdje,,,expression
Beaucoup,Fil,,,expression
Bonjour,buschur,,,expression
Bonne nuit,güeta Nàcht,,,expression
Combien ?,Vifil?,,,expression
Comment ?,Vi?,,,expression
