| Vowel | IPA | fraExample | gswExample |
|---|---|---|---|
| a | [ɔ] or [å] | mort, sort, or, gore | der Mann [dr mɔn]  |
| å | [ɔ:] | idem, plus long | s' Råd [s' rɔ:d]  |
| à | [a] | salle, barde, salade | d'Mànner [d'mann'r]  |
| ä  | [ɛ], [ɛ:]  | être, paraître  | säje [sɛ:jə]  |
| e | [a] start and end word in Haut-Rhin | idem | Mànele [ma:nala]  |
| e | [a] following a vowel | idem | miet [mi:at], lüege [ly:aga]  |
| e | [e] | pré, été | lege [le:ga]  |
| i | between [e] and [i] when short vowel | NA | der Himmel [dr hemml]  |
| i | [i] long vowel | île, mille | der Rhi [dr Ri:], der Wi [dr vi:]  |
| o | [o] | sot, seau, beau | der Morge [dr mo:rga], solle [sola]  |
| u | [u] | nous, vous, sous | d'Wulke [d'vu:lka]  |
| ü | [y] | sûr, dur, mur | Nüdle [nuudla]  |
| ie | [i:a] | NA | Biewele [bi:avala]  |
| üe | [y:a] | NA | der Büe [dr by:a]  |
| ei, ài | [ai] | ail, aïe | Meidele [maidala]  |
| ai  | [ɔ:i]  | 'boy' (eng) | laife [loifa]  |

| Consonants  | IPA | fraExample | gswExample |
|---|---|---|---|
| b | between [b] and [p] | NA | bliwe [bliiva]  |
| p | uncommon, between [b] and [p] | passage, pierre | prowiere [proviiara], passe [possa / bossa] |
| d | between [d] and [t] | NA | trinke [trénka / drénka]  |
| t | between [d] and [t] | NA | iwertriwe [év'r-triiva]  |
| v | [f] | fièvre, filet | vergeifre [f'r-gaïfra]  |
| f | [f] | fièvre, filet | Flàcke [flaka], fliege [fliiaga]  |
| g | between [g] and [k] | gare | geifre [gaïfra/kaïfra]  |
| h | [h] | 'high' (eng) | der Himmel [d'r hémm'l]  |
| j | [j] | yeux | jede [yééda]  |
| k | between [k] and [g] | NA | kuma [kouma/gouma]  |
| r | [r] regional variations | rouille, rouler | ràgne [rag'na]  |
| s | [s] ; [ʃ] if preceding t, d, p and some r | savon, chat, chien | springe [chpré-nga], steh [chtéé], sewe [sééva]  |
| w | [v] | wagon, voiture, victoire | Wage [vooga], Wulke [voulka]  |
| x | [ks] | exciter, exfolier | Wax [voks]  |
| z | [ts] | tsar | Zahn [tsoo'n], Zorn [tsôrn]  |
| sch | [ʃ] | chat, chien | schriwe (écrire) [chriiva]  |
| ch | [x] | jota | noch (encore) [nôrr], Büech (livre) [buuarr]  |
| ch | [ç] | NA | Schlüch (tuyau) [chluurr] dans le Haut-Rhin et [chluuch] dans le Bas-Rhin  |
| ch | [k] | cabinet | Wachs (cire) [vɔks], wachse (grandir, croître, pousser) [vɔksa]  |
| ng | [ng] | 'parking' (eng) | Iewung (iia'vou-ng) (exercice, expérience)  |
